,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,1622.0,309.0,77.0,2008,469.0,135.0,2612,13556
1,Veneto,117.0,27.0,310.0,454,22.0,12.0,488,13023
2,Emila Romanga,397.0,53.0,366.0,816,17.0,37.0,870,3136
3,Piemonte,57.0,30.0,52.0,139,,4.0,143,793
4,Liguria,12.0,5.0,7.0,24,5.0,3.0,32,229
5,Marche ,73.0,20.0,62.0,155,,4.0,159,585
6,Toscana,35.0,5.0,38.0,78,1.0,,79,1097
7,Sicilia,7.0,,15.0,22,2.0,,24,367
8,Lazio,26.0,8.0,16.0,50,3.0,1.0,54,1373
9,Campania,12.0,,45.0,57,,,57,471
10,Puglia,5.0,1.0,9.0,15,1.0,1.0,17,395
11,Bolzano,4.0,,,4,,,4,36
12,Abruzzo,9.0,,,9,,,9,96
13,Calabria,2.0,,2.0,4,,,4,99
14,Sardegna,2.0,,3.0,5,,,5,99
15,Umbria,2.0,2.0,12.0,16,,,16,110
16,Valle D'Aosta,,,7.0,7,,,7,28
17,Friuli V.G.,4.0,,24.0,28,3.0,,31,577
18,Trento ,4.0,,6.0,10,,,10,122
19,Molise,3.0,2.0,7.0,12,,,12,104
20,Basilicata,1.0,,2.0,3,,,3,63
21,Somma Totale,2394.0,462.0,1060.0,3916,523.0,197.0,4636,36359
