,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,478.0,127.0,472.0,1077,139.0,38.0,1254,7925
1,Veneto,53.0,14.0,204.0,271,,2.0,273,9782
2,Emila Romanga,148.0,16.0,160.0,324,,11.0,335,1973
3,Piemonte,12.0,2.0,37.0,51,,,51,434
4,Liguria,12.0,1.0,5.0,18,4.0,,22,121
5,Marche ,17.0,6.0,11.0,34,,1.0,35,137
6,Toscana,7.0,,5.0,12,1.0,,13,613
7,Sicilia,2.0,,3.0,5,2.0,,7,307
8,Lazio,3.0,,1.0,4,3.0,,7,773
9,Campania,4.0,,13.0,17,,,17,373
10,Puglia,2.0,,2.0,4,,,4,278
11,Bolzano,1.0,,,1,,,1,20
12,Abruzzo,3.0,,2.0,5,,,5,52
13,Calabria,,,1.0,1,,,1,39
14,Sardegna,,,,0,,,0,29
15,Umbria,,,2.0,2,,,2,35
16,Valle D'Aosta,,,,0,,,0,11
17,Friuli V.G.,,,9.0,9,,,9,269
18,Trento ,,,,0,,,0,122
19,Molise,,,,0,,,0,13
20,Basilicata,,,,0,,,0,39
21,Somma Totale,742.0,166.0,927.0,1835,149.0,52.0,2036,23345
