,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,877.0,209.0,411.0,1497,250.0,73.0,1820,12138
1,Veneto,76.0,23.0,246.0,345,9.0,6.0,360,10515
2,Emila Romanga,256.0,26.0,234.0,516,6.0,22.0,544,2500
3,Piemonte,26.0,13.0,43.0,82,,,82,543
4,Liguria,10.0,3.0,8.0,21,4.0,1.0,26,133
5,Marche ,34.0,15.0,31.0,80,,4.0,84,288
6,Toscana,15.0,2.0,20.0,37,1.0,,38,776
7,Sicilia,5.0,,11.0,16,2.0,,18,367
8,Lazio,15.0,3.0,9.0,27,3.0,,30,995
9,Campania,11.0,,20.0,31,,,31,429
10,Puglia,4.0,,3.0,7,1.0,1.0,9,322
11,Bolzano,1.0,,,1,,,1,20
12,Abruzzo,7.0,,,7,,,7,85
13,Calabria,,,1.0,1,,,1,46
14,Sardegna,1.0,,1.0,2,,,2,42
15,Umbria,1.0,1.0,7.0,9,,,9,58
16,Valle D'Aosta,,,,0,,,0,15
17,Friuli V.G.,3.0,,15.0,18,,,18,376
18,Trento ,1.0,,4.0,5,,,5,122
19,Molise,3.0,,,3,,,3,19
20,Basilicata,,,1.0,1,,,1,48
21,Somma Totale,1346.0,295.0,1065.0,2706,276.0,107.0,3089,29837
