,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,,,,258.0,,,,
1,Veneto,,,,71.0,,,,
2,Emila Romanga,,,,47.0,,,,
3,Liguria,,,,2.0,,,,
4,Piemonte,,,,11.0,,,,
5,Toscana,,,,3.0,,,,
6,Marche ,,,,1.0,,,,
7,Sicilia,,,,3.0,,,,
8,Lazio,,,,3.0,,,,
9,Campania,,,,,,,,
10,Puglia,,,,,,,,
11,Bolzano,,,,1.0,,,,
12,Abruzzo,,,,,,,,
13,Calabria,,,,,,,,
14,Sardegna,,,,,,,,
15,Umbria,,,,,,,,
16,Valle D'Aosta,,,,,,,,
17,Friuli V.G.,,,,,,,,
18,Trento ,,,,,,,,
19,Molise,,,,,,,,
20,Basilicata,,,,,,,,
21,Somma Totale,128.0,36.0,221.0,400.0,3.0,12.0,,
