,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,,,,240.0,,,,
1,Veneto,,,,43.0,,,,
2,Emila Romanga,,,,26.0,,,,
3,Liguria,,,,1.0,,,,
4,Piemonte,,,,3.0,,,,
5,Toscana,,,,2.0,,,,
6,Marche ,,,,,,,,
7,Sicilia,,,,3.0,,,,
8,Lazio,,,,3.0,,,,
9,Campania,,,,,,,,
10,Puglia,,,,,,,,
11,Bolzano,,,,1.0,,,,
12,Abruzzo,,,,,,,,
13,Calabria,,,,,,,,
14,Sardegna,,,,,,,,
15,Umbria,,,,,,,,
16,Valle D'Aosta,,,,,,,,
17,Friuli V.G.,,,,,,,,
18,Trento ,,,,,,,,
19,Molise,,,,,,,,
20,Basilicata,,,,,,,,
21,Somma Totale,114.0,35.0,162.0,322.0,1.0,10.0,0.0,0.0
