,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,1169.0,244.0,364.0,1777,376.0,98.0,2251,12354
1,Veneto,92.0,24.0,264.0,380,17.0,10.0,407,11949
2,Emila Romanga,327.0,32.0,299.0,658,10.0,30.0,698,2884
3,Piemonte,43.0,17.0,46.0,106,,2.0,108,543
4,Liguria,11.0,3.0,7.0,21,4.0,3.0,28,146
5,Marche ,57.0,19.0,44.0,120,,4.0,124,413
6,Toscana,26.0,3.0,31.0,60,1.0,,61,776
7,Sicilia,5.0,,11.0,16,2.0,,18,367
8,Lazio,20.0,7.0,14.0,41,3.0,,44,1175
9,Campania,12.0,,33.0,45,,,45,471
10,Puglia,5.0,1.0,6.0,12,1.0,1.0,14,359
11,Bolzano,1.0,,,1,,,1,20
12,Abruzzo,8.0,,,8,,,8,96
13,Calabria,1.0,,1.0,2,,,2,53
14,Sardegna,2.0,,0.0,2,,,2,50
15,Umbria,1.0,1.0,7.0,9,,,9,88
16,Valle D'Aosta,,,2.0,2,,,2,21
17,Friuli V.G.,4.0,,17.0,21,,,21,397
18,Trento ,2.0,,5.0,7,,,7,122
19,Molise,4.0,,3.0,7,,,7,24
20,Basilicata,,,1.0,1,,,1,54
21,Somma Totale,1790.0,351.0,1155.0,3296,414.0,148.0,3858,32362
