,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,,,,172.0,,,,
1,Veneto,,,,33.0,,,,
2,Emila Romanga,,,,18.0,,,,
3,Liguria,,,,,,,,
4,Piemonte,,,,3.0,,,,
5,Toscana,,,,,,,,
6,Marche ,,,,,,,,
7,Sicilia,,,,,,,,
8,Lazio,,,,3.0,,,,
9,Campania,,,,,,,,
10,Puglia,,,,,,,,
11,Bolzano,,,,,,,,
12,Abruzzo,,,,,,,,
13,Calabria,,,,,,,,
14,Sardegna,,,,,,,,
15,Umbria,,,,,,,,
16,Valle D'Aosta,,,,,,,,
17,Friuli V.G.,,,,,,,,
18,Trento ,,,,,,,,
19,Molise,,,,,,,,
20,Basilicata,,,,,,,,
21,Somma Totale,101.0,27.0,94.0,229.0,1.0,6.0,0.0,0.0
